Type;Method;Mode;Platform;Jit;Toolchain;Runtime;GcMode;LaunchCount;WarmupCount;TargetCount;Affinity;Median;StdDev;Scaled;Scaled-SD
ArithmeticExpressionBenchmark;Sprache;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;283.7834 us;43.3691 us;1.00;0.00
ArithmeticExpressionBenchmark;SuperpowerToken;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;80.8096 us;1.0225 us;0.27;0.03
